Run	Start Period	Stop Period	Seed	Active Bacterial Transmission Rate	Avoid TBLocations	Bacterial Decay Rate	Bacterial Diffusion Rate	Bacterial Emission Rate	Bacterial Load Infection Threshold	Min Days Clinical Treatmentto Latent	Max Days Clinical Treatmentto Latent	Min Days Clinical Treatmentto Recovered	Max Days Clinical Treatmentto Recovered	House Count	Immune Clearing Factor Base	Immune Clearing HIVNegative Factor	Immune Clearing HIVPositive Factor	Immune Clearing Impoverished Factor	Immune Clearing Malnourished Factor	Immune Clearing Non Smoker Factor	Immune Clearing Not Improvished Factor	Immune Clearing Nourished Factor	Immune Clearing Smoker Factor	Individual Count	Next House ID	Next Work ID	PActive Transition Latent Factor Base	PActive Transition Latent HIVNegative Factor	PActive Transition Latent HIVPositive Factor	PActive Transition Latent Impoverished Factor	PActive Transition Latent Malnourished Factor	PActive Transition Latent Non Smoker Factor	PActive Transition Latent Not Improvished Factor	PActive Transition Latent Nourished Factor	PActive Transition Latent Smoker Factor	PAlways Compliant Category	PDetection	PFemale	PHigh Social Status	PInitial Active	PInitial Impoverished	PInitial Malnourished	PInitial TBPositive	PSometimes Compliant Category	PSomtimes Compliantwill Comply	PTransmission	Pause Period	Periodsin Day	Random Seed	Maximum Seperation	Start Period	Stop Period	TBActive Death Rateper Year	TBAvoidance Threshold	Thread Count	Village Height	Village Width	Work Location Count	Count TBmodel P Initial TB Positive	Minimum TBmodel P Initial TB Positive	Maximum TBmodel P Initial TB Positive	Sum TBmodel P Initial TB Positive	Average TBmodel P Initial TB Positive	Count Houses Population	Count Work Locations Population	Count Individuals Population	Count Individual Suseptible TB Status	Count Individual Latent TB Status	Count Individual Active TB Status	Count Individual Dead TB Status	Count Individual TB Infections Per Lifetime	Minimum Individual TB Infections Per Lifetime	Maximum Individual TB Infections Per Lifetime	Sum Individual TB Infections Per Lifetime	Average Individual TB Infections Per Lifetime	Count Individual Not Infected Treatment Status	Count Individual No Treatment Treatment Status	Count Individual Local Healer Treatment Status	Count Individual Clinical Treatment Treatment Status	Count Individual Non Compliant Clinical Treatment Treatment Status	Count Individual DOTS Treatment Treatment Status	Count Individual Non Compliant DOTS Treatment Treatment Status	Count Individual Days Until Latent	Minimum Individual Days Until Latent	Maximum Individual Days Until Latent	Sum Individual Days Until Latent	Average Individual Days Until Latent	Count Individual Days Until Recovered	Minimum Individual Days Until Recovered	Maximum Individual Days Until Recovered	Sum Individual Days Until Recovered	Average Individual Days Until Recovered	Count Individual Succesful Treatments	Minimum Individual Succesful Treatments	Maximum Individual Succesful Treatments	Sum Individual Succesful Treatments	Average Individual Succesful Treatments	Count Individual HIV Negative HIV Status	Count Individual HIV Positive HIV Status	Count Individual Non Smoker Smoking	Count Individual Smoker Smoking	Count Individual Female Gender	Count Individual Male Gender	Count Individual Age Index	Minimum Individual Age Index	Maximum Individual Age Index	Sum Individual Age Index	Average Individual Age Index	Count Individual Age Range	Minimum Individual Age Range	Maximum Individual Age Range	Sum Individual Age Range	Average Individual Age Range	Count Individual Never Compliant Compliance Behavior	Count Individual Sometimes Compliant Compliance Behavior	Count Individual Always Compliant Compliance Behavior	Count Individual Bacterial Load	Minimum Individual Bacterial Load	Maximum Individual Bacterial Load	Sum Individual Bacterial Load	Average Individual Bacterial Load	Count Individual Nourished Nutrition	Count Individual Malnourished Nutrition	Count Individual Not Improvished Economic Status	Count Individual Impoverished Economic Status	Count Individual Bacterial Clearing Rate	Minimum Individual Bacterial Clearing Rate	Maximum Individual Bacterial Clearing Rate	Sum Individual Bacterial Clearing Rate	Average Individual Bacterial Clearing Rate
11	0	2000	1312757664074	12.0000	1.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	1100.0000	275.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	739.0	176.0	35.0	50.0	1000.0	0.0	9.0	1025.0	1.025	739.0	3.0	0.0	88.0	170.0	0.0	0.0	1000.0	-1596.0	16.0	-139379.0	-139.379	1000.0	0.0	185.0	12353.0	12.353	1000.0	0.0	8.0	764.0	0.764	990.0	10.0	931.0	69.0	464.0	536.0	1000.0	0.0	12.0	3974.0	3.974	1000.0	0.0	60.0	19870.0	19.87	299.0	0.0	701.0	1000.0	0.0	24.0	2826.0	2.826	927.0	73.0	537.0	463.0	1000.0	0.0	9.0	7760.0	7.76
12	0	2000	1312757717391	12.0000	1.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	1200.0000	300.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	773.0	146.0	29.0	52.0	1000.0	0.0	9.0	872.0	0.872	773.0	4.0	0.0	68.0	155.0	0.0	0.0	1000.0	-1458.0	16.0	-117619.0	-117.619	1000.0	0.0	185.0	10126.0	10.126	1000.0	0.0	8.0	645.0	0.645	992.0	8.0	944.0	56.0	485.0	515.0	1000.0	0.0	12.0	3887.0	3.887	1000.0	0.0	60.0	19435.0	19.435	319.0	0.0	681.0	1000.0	0.0	12.0	2464.0	2.464	895.0	105.0	549.0	451.0	1000.0	2.0	9.0	7752.0	7.752
13	0	2000	1312757788700	12.0000	1.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	1300.0000	325.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	656.0	231.0	61.0	52.0	1000.0	0.0	10.0	1399.0	1.399	656.0	11.0	0.0	128.0	205.0	0.0	0.0	1000.0	-1731.0	16.0	-195226.0	-195.226	1000.0	0.0	185.0	15621.0	15.621	1000.0	0.0	9.0	1055.0	1.055	985.0	15.0	930.0	70.0	511.0	489.0	1000.0	0.0	12.0	3923.0	3.923	1000.0	0.0	60.0	19615.0	19.615	319.0	0.0	681.0	1000.0	0.0	15.0	3697.0	3.697	927.0	73.0	550.0	450.0	1000.0	3.0	9.0	7769.0	7.769
14	0	2000	1312757813849	12.0000	1.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	1400.0000	350.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	696.0	189.0	43.0	72.0	1000.0	0.0	9.0	1201.0	1.201	696.0	5.0	0.0	105.0	194.0	0.0	0.0	1000.0	-1529.0	16.0	-164117.0	-164.117	1000.0	0.0	185.0	13791.0	13.791	1000.0	0.0	8.0	897.0	0.897	994.0	6.0	945.0	55.0	489.0	511.0	1000.0	0.0	12.0	3792.0	3.792	1000.0	0.0	60.0	18960.0	18.96	323.0	0.0	677.0	1000.0	0.0	17.0	3289.0	3.289	926.0	74.0	558.0	442.0	1000.0	2.0	9.0	7840.0	7.84
15	0	2000	1312757852550	12.0000	1.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	1500.0000	375.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	755.0	157.0	32.0	56.0	1000.0	0.0	9.0	904.0	0.904	755.0	3.0	0.0	86.0	156.0	0.0	0.0	1000.0	-1628.0	16.0	-121008.0	-121.008	1000.0	0.0	185.0	11957.0	11.957	1000.0	0.0	9.0	659.0	0.659	990.0	10.0	944.0	56.0	525.0	475.0	1000.0	0.0	12.0	3995.0	3.995	1000.0	0.0	60.0	19975.0	19.975	300.0	0.0	700.0	1000.0	0.0	12.0	2661.0	2.661	923.0	77.0	564.0	436.0	1000.0	2.0	9.0	7832.0	7.832
16	0	2000	1312757911198	12.0000	1.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	1600.0000	400.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	722.0	181.0	35.0	62.0	1000.0	0.0	10.0	1116.0	1.116	722.0	5.0	0.0	87.0	186.0	0.0	0.0	1000.0	-1703.0	16.0	-154005.0	-154.005	1000.0	0.0	185.0	11502.0	11.502	1000.0	0.0	9.0	838.0	0.838	989.0	11.0	937.0	63.0	523.0	477.0	1000.0	0.0	12.0	3944.0	3.944	1000.0	0.0	60.0	19720.0	19.72	330.0	0.0	670.0	1000.0	0.0	12.0	3013.0	3.013	919.0	81.0	516.0	484.0	1000.0	2.0	9.0	7711.0	7.711
17	0	2000	1312757940008	12.0000	1.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	1700.0000	425.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	771.0	157.0	34.0	38.0	1000.0	0.0	8.0	934.0	0.934	771.0	3.0	0.0	72.0	154.0	0.0	0.0	1000.0	-1434.0	16.0	-128836.0	-128.836	1000.0	0.0	185.0	9518.0	9.518	1000.0	0.0	8.0	705.0	0.705	988.0	12.0	944.0	56.0	479.0	521.0	1000.0	0.0	12.0	3889.0	3.889	1000.0	0.0	60.0	19445.0	19.445	299.0	0.0	701.0	1000.0	0.0	12.0	2532.0	2.532	919.0	81.0	539.0	461.0	1000.0	2.0	9.0	7768.0	7.768
18	0	2000	1312757994095	12.0000	1.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	1800.0000	450.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	727.0	177.0	42.0	54.0	1000.0	0.0	10.0	1074.0	1.074	727.0	6.0	0.0	97.0	170.0	0.0	0.0	1000.0	-1729.0	16.0	-148805.0	-148.805	1000.0	0.0	185.0	12123.0	12.123	1000.0	0.0	9.0	801.0	0.801	987.0	13.0	940.0	60.0	504.0	496.0	1000.0	0.0	12.0	3967.0	3.967	1000.0	0.0	60.0	19835.0	19.835	310.0	0.0	690.0	1000.0	0.0	17.0	3032.0	3.032	920.0	80.0	563.0	437.0	1000.0	3.0	9.0	7807.0	7.807
19	0	2000	1312758062684	12.0000	1.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	1900.0000	475.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	729.0	185.0	38.0	48.0	1000.0	0.0	9.0	1069.0	1.069	729.0	10.0	0.0	97.0	164.0	0.0	0.0	1000.0	-1605.0	16.0	-147385.0	-147.385	1000.0	0.0	185.0	12192.0	12.192	1000.0	0.0	9.0	798.0	0.798	991.0	9.0	947.0	53.0	486.0	514.0	1000.0	0.0	12.0	3925.0	3.925	1000.0	0.0	60.0	19625.0	19.625	289.0	0.0	711.0	1000.0	0.0	14.0	2882.0	2.882	920.0	80.0	530.0	470.0	1000.0	2.0	9.0	7767.0	7.767
20	0	2000	1312758137341	12.0000	1.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	2000.0000	500.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	736.0	160.0	41.0	63.0	1000.0	0.0	10.0	1124.0	1.124	736.0	7.0	0.0	83.0	174.0	0.0	0.0	1000.0	-1736.0	16.0	-156765.0	-156.765	1000.0	0.0	185.0	11842.0	11.842	1000.0	0.0	9.0	860.0	0.86	989.0	11.0	947.0	53.0	486.0	514.0	1000.0	0.0	12.0	3853.0	3.853	1000.0	0.0	60.0	19265.0	19.265	315.0	0.0	685.0	1000.0	0.0	17.0	2920.0	2.92	910.0	90.0	543.0	457.0	1000.0	0.0	9.0	7767.0	7.767
